,Stock,Company,Price,Price_Change,date_time
0,test,,,,
0,AMAG,AMAG Pharmaceuticals Inc,$13.65 ,$4.25 (45.21%),56:31.6
1,AEL,American Equity Investment Life Holding Co,$31.68 ,$9.69 (44.07%),56:31.6
2,WTRE,Watford Holdings Ltd,$28.81 ,$5.87 (25.59%),56:31.6
3,BBBY,Bed Bath & Beyond Inc,$18.75 ,$3.77 (25.13%),56:31.6
4,DMRC,Digimarc Corp,$27.47 ,$5.14 (23.02%),56:31.6
5,PLRX,Pliant Therapeutics Inc,$19.89 ,$-2.76 (-12.19%),56:31.6
6,GRVY,GRAVITY Co Ltd,$127.00 ,$-16.35 (-11.41%),56:31.6
7,NRIX,Nurix Therapeutics Inc,$30.94 ,$-3.97 (-11.37%),56:31.6
8,OMI,Owens & Minor Inc,$22.56 ,$-2.55 (-10.16%),56:31.6
9,KYMR,Kymera Therapeutics Inc,$29.08 ,$-3.23 (-10.00%),56:31.6
0,ARA,American Renal Associates Holdings Inc,$11.36 ,$4.44 (64.16%),57:00.4
1,NNOX,Nano X Imaging Ltd,$31.00 ,$7.03 (29.33%),57:00.4
2,JHG,Janus Henderson Group PLC,$23.95 ,$2.35 (10.88%),57:00.4
3,AGO,Assured Guaranty Ltd,$24.07 ,$2.13 (9.71%),57:00.4
4,HGEN,Humanigen Inc,$10.52 ,$0.92 (9.57%),57:00.4
5,ADRO,Aduro Biotech Inc,$11.30 ,$-3.00 (-20.98%),57:00.4
6,DPHC,DiamondPeak Holdings Corp,$22.18 ,$-2.79 (-11.16%),57:00.4
7,ARQT,Arcutis Biotherapeutics Inc,$24.56 ,$-3.07 (-11.10%),57:00.4
8,SAVA,Cassava Sciences Inc,$10.25 ,$-1.15 (-10.09%),57:00.4
9,SPAQ,Spartan Energy Acquisition Corp,$13.60 ,$-1.45 (-9.66%),57:00.40
0,ARA,American Renal Associates Holdings Inc,$ 11.52,$4.60 (66.47%),2020-10-02 21:18:47.341165
1,NNOX,Nano X Imaging Ltd,$ 37.44,$13.47 (56.20%),2020-10-02 21:18:47.341165
2,BEEM,Beam Global,$ 14.99,$2.52 (20.21%),2020-10-02 21:18:47.341165
3,ENLV,Enlivex Therapeutics Ltd,$ 10.35,$1.56 (17.75%),2020-10-02 21:18:47.341165
4,AGO,Assured Guaranty Ltd,$ 25.54,$3.60 (16.41%),2020-10-02 21:18:47.341165
5,ARQT,Arcutis Biotherapeutics Inc,$ 23.30,$-4.32 (-15.64%),2020-10-02 21:18:47.341165
6,NRIX,Nurix Therapeutics Inc,$ 26.47,$-4.48 (-14.46%),2020-10-02 21:18:47.341165
7,INZY,Inozyme Pharma Inc,$ 21.00,$-3.33 (-13.69%),2020-10-02 21:18:47.341165
8,SRRK,Scholar Rock Holding Corp,$ 15.39,$-2.41 (-13.54%),2020-10-02 21:18:47.341165
9,SGH,SMART Global Holdings Inc,$ 24.89,$-3.41 (-12.05%),2020-10-02 21:18:47.341165
0,MYOK,MyoKardia Inc,$ 220.43,$80.83 (57.90%),2020-10-05 12:08:14.067299
1,EIDX,Eidos Therapeutics Inc,$ 72.95,$21.03 (40.49%),2020-10-05 12:08:14.067299
2,ENLV,Enlivex Therapeutics Ltd,$ 13.55,$3.20 (30.92%),2020-10-05 12:08:14.067299
3,HGEN,Humanigen Inc,$ 12.30,$2.45 (24.84%),2020-10-05 12:08:14.067299
4,PLSE,Pulse Biosciences Inc,$ 16.39,$2.98 (22.22%),2020-10-05 12:08:14.067299
5,EPR,EPR Properties,$ 25.83,$-2.80 (-9.78%),2020-10-05 12:08:14.067299
6,RMG,RMG Acquisition Corp,$ 10.39,$-1.11 (-9.65%),2020-10-05 12:08:14.067299
7,GRVY,GRAVITY Co Ltd,$ 105.80,$-9.22 (-8.02%),2020-10-05 12:08:14.067299
8,SMBC,Southern Missouri Bancorp Inc,$ 21.50,$-1.86 (-7.96%),2020-10-05 12:08:14.067299
9,LMNL,Liminal Biosciences Inc,$ 10.17,$-0.85 (-7.75%),2020-10-05 12:08:14.067299
0,EV,Eaton Vance Corp,$ 60.71,$19.77 (48.29%),2020-10-08 14:06:46.068684
1,CRDF,Cardiff Oncology Inc,$ 16.20,$2.69 (19.91%),2020-10-08 14:06:46.068684
2,KROS,Keros Therapeutics Inc,$ 47.00,$7.00 (17.50%),2020-10-08 14:06:46.068684
3,CDNA,CareDx Inc,$ 50.42,$6.56 (14.95%),2020-10-08 14:06:46.068684
4,NBR,Nabors Industries Ltd,$ 28.49,$3.18 (12.56%),2020-10-08 14:06:46.068684
5,CYTK,Cytokinetics Inc,$ 15.50,$-12.16 (-43.95%),2020-10-08 14:06:46.068684
6,OPRX,OptimizeRx Corp,$ 19.28,$-2.56 (-11.72%),2020-10-08 14:06:46.068684
7,ENLV,Enlivex Therapeutics Ltd,$ 12.11,$-1.34 (-9.97%),2020-10-08 14:06:46.068684
8,AYI,Acuity Brands Inc,$ 102.13,$-11.13 (-9.83%),2020-10-08 14:06:46.068684
9,RUN,Sunrun Inc,$ 70.46,$-7.59 (-9.72%),2020-10-08 14:06:46.068684
