,Stock,Company,Price,Price_Change,date_time
0,,,,,
0,EV,Eaton Vance Corp,$ 60.58,$19.64 (47.97%),2020-10-08 14:45:00.901112
1,GME,GameStop Corp,$ 11.65,$2.29 (24.47%),2020-10-08 14:45:00.901112
2,JMIA,Jumia Technologies AG,$ 10.28,$1.75 (20.52%),2020-10-08 14:45:00.901112
3,CRDF,Cardiff Oncology Inc,$ 16.05,$2.54 (18.76%),2020-10-08 14:45:00.901112
4,CDNA,CareDx Inc,$ 49.92,$6.06 (13.82%),2020-10-08 14:45:00.901112
5,CYTK,Cytokinetics Inc,$ 15.50,$-12.16 (-43.95%),2020-10-08 14:45:00.901112
6,OPRX,OptimizeRx Corp,$ 19.46,$-2.38 (-10.90%),2020-10-08 14:45:00.901112
7,ENLV,Enlivex Therapeutics Ltd,$ 12.02,$-1.43 (-10.63%),2020-10-08 14:45:00.901112
8,RUN,Sunrun Inc,$ 70.06,$-7.99 (-10.24%),2020-10-08 14:45:00.901112
9,ALVR,AlloVir Inc,$ 27.70,$-3.15 (-10.21%),2020-10-08 14:45:00.901112
